AUS BHR CHN AZE ESP MON CAN FRA AUT GBR GER HUN BEL ITA SIN RUS JPN USA MEX BRA ABU
"Lewis Hamilton" 2 3 4 1 1 3 5 1 - 2 1 1 2 1 1 1 1 3 4 1 1 
"Sebastian Vettel" 1 1 8 4 4 2 1 5 3 1 - 2 1 4 3 3 6 4 2 6 2 
"Kimi Räikkönen" 3 - 3 2 - 4 6 3 2 3 3 3 - 2 5 4 5 1 3 3 - 
"Max Verstappen" 6 - 5 - 3 9 3 2 1 15 4 - 3 5 2 5 3 2 1 2 3 
"Valtteri Bottas" 8 2 2 14 2 5 2 7 - 4 2 5 4 3 4 2 2 5 5 5 5 
"Daniel Ricciardo" 4 - 1 - 5 1 4 4 - 5 - 4 - - 6 6 4 - - 4 4 
"Nico Hülkenberg" 7 6 6 - - 8 7 9 - 6 5 12 - 13 10 12 - 6 6 - - 
"Sergio Pérez" 11 16 12 3 9 12 14 - 7 10 7 14 5 7 16 10 7 8 - 10 8 
"Kevin Magnussen" - 5 10 13 6 13 13 6 5 9 11 7 8 16 18 8 - - 15 9 10 
"Carlos Sainz Jr." 10 11 9 5 7 10 8 8 12 - 12 9 11 8 8 17 10 7 - 12 6 
"Fernando Alonso" 5 7 7 7 8 - - 16 8 8 16 8 - - 7 14 14 - - 17 11 
"Esteban Ocon" 12 10 11 - - 6 9 - 6 7 8 13 6 6 - 9 9 - 11 14 - 
"Charles Leclerc" 13 12 19 6 10 18 10 10 9 - 15 - - 11 9 7 - - 7 7 7 
"Romain Grosjean" - 13 17 - - 15 12 11 4 - 6 10 7 - 15 11 8 - 16 8 9 
"Pierre Gasly" - 4 18 12 - 7 11 - 11 13 14 6 9 14 13 - 11 12 10 13 - 
"Stoffel Vandoorne" 9 8 13 9 - 14 16 12 15 11 13 - 15 12 12 16 15 11 8 15 14 
"Marcus Ericsson" - 9 16 11 13 11 15 13 10 - 9 15 10 15 11 13 12 10 9 - - 
"Lance Stroll" 14 14 14 8 11 17 - 17 14 12 - 17 13 9 14 15 17 14 12 18 13 
"Brendon Hartley" 15 17 20 10 12 19 - 14 - - 10 11 14 - 17 - 13 9 14 11 12 
"Sergey Sirotkin" - 15 15 - 14 16 17 15 13 14 - 16 12 10 19 18 16 13 13 16 15 
