AUS BHR CHN AZE ESP MON CAN FRA AUT GBR GER HUN BEL ITA SIN RUS JPN MEX USA BRA ABU
"Lewis Hamilton" 2 1 1 2 1F 1 1 1 5 1F 9 1 2 3F 4 1F 3F 1 2 7 1F 
"Valtteri Bottas" 1F 2 2 1 2 3 4F 2 3 2 - 8 3 2 5 2 1 3 1 - 4 
"Max Verstappen" 3 4 4 4 3 4 5 4 1F 5 1F 2F - 8 3 4 - 6 3 1 2 
"Charles Leclerc" 5 3F 5 5F 5 - 3 3 2 3 - 4 1 1 2 3 6 4F 4F 18 3 
"Sebastian Vettel" 4 5 3 3 4 2 2 5F 4 16 2 3 4F 13 1 - 2 2 - 17 5 
"Carlos Sainz Jr." - 19 14 7 8 6 11 6 8 6 5 5 - - 12 6 5 13 8 3 10 
"Pierre Gasly" 11 8 6F - 6 5F 8 10 7 4 14 6 9 11 8 14 7 9 16 2 18 
"Alexander Albon" 14 9 10 11 11 8 - 15 15 12 6 10 5 6 6 5 4 5 5 14 6 
"Daniel Ricciardo" - 18 7 - 12 9 6 11 12 7 - 14 14 4 14 - - 8 6 6 11 
"Sergio Pérez" 13 10 8 6 15 12 12 12 11 17 - 11 6 7 - 7 8 7 10 9 7 
"Lando Norris" 12 6 18 8 - 11 - 9 6 11 - 9 11 10 7 8 11 - 7 8 8 
"Kimi Räikkönen" 8 7 9 10 14 17 15 7 9 8 12 7 16 15 - 13 12 - 11 4 13 
"Daniil Kvyat" 10 12 - - 9 7 10 14 17 9 3 15 7 - 15 12 10 11 12 10 9 
"Nico Hülkenberg" 7 17 - 14 13 13 7 8 13 10 - 12 8 5 9 10 - 10 9 15 12 
"Lance Stroll" 9 14 12 9 - 16 9 13 14 13 4 17 10 12 13 11 9 12 13 19 - 
"Kevin Magnussen" 6 13 13 13 7 14 17 17 19 - 8 13 12 - 17F 9 15 15 18 11 14 
"Antonio Giovinazzi" 15 11 15 12 16 19 13 16 10 - 13 18 18 9 10 15 14 14 14 5 16 
"Romain Grosjean" - - 11 - 10 10 14 - 16 - 7 - 13 16 11 - 13 17 15 13 15 
"Robert Kubica" 17 16 17 16 18 18 18 18 20 15 10 19 17 17 16 - 17 18 - 16 19 
"George Russell" 16 15 16 15 17 15 16 19 18 14 11 16 15 14 - - 16 16 17 12 17 
